local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
8.5,12.3,4.919570562157902,3.0374999999999996,2.759027777777778,5.223320562157902,2.3,1.9,2.7
7.4,11.9,5.487482160535669,2.15,2.765296803652968,5.702482160535669,4.0,2.4,2.2
5.6,13.7,4.82865080471689,2.3625,2.7713963963963963,5.06490080471689,0.8,2.5,2.1
7.2,12.4,3.862695855685566,2.8125,2.7780000000000005,4.1439458556855655,2.0,2.3,2.7
6.7,11.7,3.7761938717545753,2.375,2.781798245614035,4.013693871754575,2.3,2.4,2.2
5.9,11.8,3.447035745705506,1.7125000000000001,2.783982683982684,3.618285745705506,1.1,2.0,1.7
6.4,11.2,4.544988787704233,2.4749999999999996,2.7858974358974358,4.792488787704233,0.6,2.7,2.4
7.9,9.4,4.288437587927202,2.0500000000000003,2.7871308016877636,4.493437587927202,3.1,2.0,2.0
7.2,10.5,4.816083886132092,2.8,2.789166666666667,5.096083886132092,4.1,2.1,2.6
4.6,12.0,1.802542747516579,1.6875,2.7888888888888888,1.971292747516579,2.8,1.1,1.5
6.5,13.3,5.153445205905367,3.0374999999999996,2.795121951219512,5.457195205905367,0.6,2.8,2.7
6.9,11.2,5.346947264815882,2.5625,2.7977911646586344,5.603197264815882,1.1,2.9,2.5
6.4,9.8,5.159275800609213,2.6999999999999997,2.7966269841269837,5.429275800609212,0.8,2.8,2.4
8.1,8.2,3.9420223573300883,2.1375,2.7956862745098037,4.155772357330088,2.6,2.2,2.1
7.1,8.7,4.5941204010239645,2.4625,2.793798449612403,4.840370401023964,2.2,2.5,2.3
6.2,8.6,4.838917230471689,2.125,2.790038314176245,5.05141723047169,0.7,2.5,2.0
8.7,7.3,3.3784777824988557,2.0375,2.7886363636363636,3.5822277824988555,2.5,1.8,1.9
7.7,7.9,2.3471532189807034,2.7125000000000004,2.786516853932585,2.6184032189807036,3.7,1.6,2.5
7.1,9.1,3.451036598073877,2.725,2.7855555555555553,3.723536598073877,1.2,2.2,2.6
8.4,7.7,6.645247507466345,2.6999999999999997,2.7844322344322343,6.915247507466344,3.3,3.1,2.4
6.4,8.6,4.095526945784418,2.4749999999999996,2.781340579710145,4.343026945784418,2.2,2.4,2.4
7.9,8.4,2.780618656625023,2.025,2.7806451612903227,2.983118656625023,4.4,1.2,1.8
7.4,11.0,4.852436074851784,2.8,2.7836879432624113,5.1324360748517845,1.2,2.6,2.6
8.6,9.6,3.9152452166887834,2.575,2.786315789473684,4.172745216688783,2.0,2.2,2.6
9.3,9.0,4.107125624564305,2.0375,2.7890625000000004,4.310875624564305,5.3,1.9,1.9
5.5,12.4,3.8447882908818274,2.125,2.79106529209622,4.057288290881828,0.7,2.5,2.0
6.7,11.1,2.648027871632637,2.1375,2.792857142857143,2.861777871632637,2.3,2.0,2.1
6.6,11.3,4.627166529067412,2.4625,2.794781144781145,4.873416529067412,3.0,2.5,2.3
8.2,12.0,3.329773215622667,1.8000000000000003,2.8005000000000004,3.5097732156226673,3.1,1.6,1.8
6.9,13.3,2.9275106071633794,3.1374999999999997,2.806105610561056,3.2412606071633796,2.7,1.9,2.9
7.1,13.1,4.880242246048259,2.325,2.8116013071895423,5.112742246048259,1.6,2.4,2.4
6.7,12.3,3.6673553146587308,3.0374999999999996,2.8150485436893207,3.9711053146587307,1.3,2.2,2.7
9.6,10.9,5.510810817514399,2.7125000000000004,2.8208333333333333,5.782060817514399,2.1,3.0,2.5
9.5,10.5,2.7027140492468344,2.025,2.825714285714286,2.9052140492468346,2.2,1.6,1.8
10.5,10.9,5.6092334671409025,2.4625,2.8327044025157235,5.855483467140902,5.9,2.4,2.3
